Vardas          Pavarde                           ND1       ND2       ND3       Egz.      
Vardas583       Pavarde583                        3         3         1         8         
Vardas584       Pavarde584                        5         3         1         2         
Vardas585       Pavarde585                        3         2         3         1         
Vardas586       Pavarde586                        5         1         7         1         
Vardas587       Pavarde587                        8         8         6         3         
Vardas588       Pavarde588                        7         7         4         4         
Vardas589       Pavarde589                        1         4         5         5         
Vardas590       Pavarde590                        1         5         3         1         
Vardas591       Pavarde591                        10        7         8         3         
Vardas592       Pavarde592                        1         8         10        7         
Vardas593       Pavarde593                        9         7         9         3         
Vardas594       Pavarde594                        6         6         6         10        
Vardas595       Pavarde595                        5         5         4         4         
Vardas596       Pavarde596                        3         4         8         3         
Vardas597       Pavarde597                        1         5         2         3         
Vardas598       Pavarde598                        5         4         7         10        
Vardas599       Pavarde599                        2         1         8         7         
Vardas600       Pavarde600                        1         10        9         4         
Vardas601       Pavarde601                        1         6         6         2         
Vardas602       Pavarde602                        5         4         8         10        
Vardas603       Pavarde603                        6         9         6         9         
Vardas604       Pavarde604                        4         8         10        1         
Vardas605       Pavarde605                        3         1         1         8         
Vardas606       Pavarde606                        4         4         3         1         
Vardas607       Pavarde607                        8         5         7         1         
Vardas608       Pavarde608                        2         3         2         6         
Vardas609       Pavarde609                        1         9         10        9         
Vardas610       Pavarde610                        2         1         6         7         
Vardas611       Pavarde611                        9         4         6         8         
Vardas612       Pavarde612                        9         6         4         5         
Vardas613       Pavarde613                        4         4         10        4         
Vardas614       Pavarde614                        2         7         7         1         
Vardas615       Pavarde615                        2         7         7         2         
Vardas616       Pavarde616                        6         4         3         3         
Vardas617       Pavarde617                        8         8         9         2         
Vardas618       Pavarde618                        3         9         10        4         
Vardas619       Pavarde619                        10        2         10        6         
Vardas620       Pavarde620                        5         4         10        3         
Vardas621       Pavarde621                        7         6         8         9         
Vardas622       Pavarde622                        6         7         7         3         
Vardas623       Pavarde623                        9         8         3         5         
Vardas624       Pavarde624                        10        10        7         4         
Vardas625       Pavarde625                        4         7         8         2         
Vardas626       Pavarde626                        10        8         4         5         
Vardas627       Pavarde627                        4         10        5         2         
Vardas628       Pavarde628                        2         9         3         3         
Vardas629       Pavarde629                        4         8         5         3         
Vardas630       Pavarde630                        7         10        1         2         
Vardas631       Pavarde631                        8         5         1         4         
Vardas632       Pavarde632                        1         7         8         10        
Vardas633       Pavarde633                        6         4         5         10        
Vardas634       Pavarde634                        9         6         3         3         
Vardas635       Pavarde635                        6         4         10        7         
Vardas636       Pavarde636                        5         5         10        4         
Vardas637       Pavarde637                        5         8         1         8         
Vardas638       Pavarde638                        9         2         8         5         
Vardas639       Pavarde639                        1         10        5         8         
Vardas640       Pavarde640                        1         8         10        6         
Vardas641       Pavarde641                        9         6         10        5         
Vardas642       Pavarde642                        8         4         8         10        
Vardas643       Pavarde643                        3         7         1         10        
Vardas644       Pavarde644                        1         2         5         6         
Vardas645       Pavarde645                        7         3         7         9         
Vardas646       Pavarde646                        5         4         7         10        
Vardas647       Pavarde647                        10        10        10        1         
Vardas648       Pavarde648                        1         4         7         3         
Vardas649       Pavarde649                        7         9         8         8         
Vardas650       Pavarde650                        2         2         5         5         
Vardas651       Pavarde651                        3         6         8         10        
Vardas652       Pavarde652                        6         8         4         2         
Vardas653       Pavarde653                        3         6         3         4         
Vardas654       Pavarde654                        2         2         6         1         
Vardas655       Pavarde655                        4         5         4         3         
Vardas656       Pavarde656                        10        10        9         4         
Vardas657       Pavarde657                        3         7         8         4         
Vardas658       Pavarde658                        2         7         6         7         
Vardas659       Pavarde659                        4         3         8         4         
Vardas660       Pavarde660                        5         7         2         1         
Vardas661       Pavarde661                        1         3         1         4         
Vardas662       Pavarde662                        4         4         7         4         
Vardas663       Pavarde663                        4         1         8         1         
Vardas664       Pavarde664                        4         3         9         6         
Vardas665       Pavarde665                        4         10        10        10        
Vardas666       Pavarde666                        7         1         9         8         
Vardas667       Pavarde667                        2         5         1         8         
Vardas668       Pavarde668                        3         2         5         8         
Vardas669       Pavarde669                        6         2         10        5         
Vardas670       Pavarde670                        5         8         7         10        
Vardas671       Pavarde671                        9         2         6         8         
Vardas672       Pavarde672                        2         9         2         3         
Vardas673       Pavarde673                        1         2         10        3         
Vardas674       Pavarde674                        5         3         7         4         
Vardas675       Pavarde675                        1         5         3         7         
Vardas676       Pavarde676                        4         4         7         2         
Vardas677       Pavarde677                        1         3         3         9         
Vardas678       Pavarde678                        10        2         8         1         
Vardas679       Pavarde679                        8         2         8         7         
Vardas680       Pavarde680                        1         1         7         6         
Vardas681       Pavarde681                        4         1         2         8         
Vardas682       Pavarde682                        4         9         4         2         
Vardas683       Pavarde683                        9         10        8         9         
Vardas684       Pavarde684                        9         3         7         2         
Vardas685       Pavarde685                        8         8         2         7         
Vardas686       Pavarde686                        6         10        8         9         
Vardas687       Pavarde687                        7         1         3         7         
Vardas688       Pavarde688                        3         9         8         2         
Vardas689       Pavarde689                        9         9         2         7         
Vardas690       Pavarde690                        5         4         8         6         
Vardas691       Pavarde691                        8         9         1         3         
Vardas692       Pavarde692                        9         6         3         5         
Vardas693       Pavarde693                        6         8         9         2         
Vardas694       Pavarde694                        10        4         10        8         
Vardas695       Pavarde695                        6         7         9         4         
Vardas696       Pavarde696                        7         3         3         10        
Vardas697       Pavarde697                        5         8         8         3         
Vardas698       Pavarde698                        1         2         4         5         
Vardas699       Pavarde699                        2         2         6         5         
Vardas700       Pavarde700                        10        1         1         5         
Vardas701       Pavarde701                        2         8         5         4         
Vardas702       Pavarde702                        9         10        6         2         
Vardas703       Pavarde703                        4         1         3         10        
Vardas704       Pavarde704                        5         9         9         9         
Vardas705       Pavarde705                        3         7         6         1         
Vardas706       Pavarde706                        1         10        6         10        
Vardas707       Pavarde707                        7         10        1         5         
Vardas708       Pavarde708                        4         8         6         1         
Vardas709       Pavarde709                        10        4         6         9         
Vardas710       Pavarde710                        5         10        4         2         
Vardas711       Pavarde711                        2         5         3         3         
Vardas712       Pavarde712                        8         7         6         10        
Vardas713       Pavarde713                        3         8         10        10        
Vardas714       Pavarde714                        9         2         3         6         
Vardas715       Pavarde715                        4         7         4         5         
Vardas716       Pavarde716                        8         3         7         3         
Vardas717       Pavarde717                        5         1         4         8         
Vardas718       Pavarde718                        6         9         5         6         
Vardas719       Pavarde719                        2         4         9         2         
Vardas720       Pavarde720                        9         5         8         4         
Vardas721       Pavarde721                        8         2         8         9         
Vardas722       Pavarde722                        3         5         3         2         
Vardas723       Pavarde723                        10        7         1         2         
Vardas724       Pavarde724                        9         6         6         9         
Vardas725       Pavarde725                        3         1         1         7         
Vardas726       Pavarde726                        7         1         6         3         
Vardas727       Pavarde727                        7         5         6         1         
Vardas728       Pavarde728                        4         9         6         4         
Vardas729       Pavarde729                        1         6         4         7         
Vardas730       Pavarde730                        3         3         8         3         
Vardas731       Pavarde731                        10        6         1         10        
Vardas732       Pavarde732                        8         5         5         4         
Vardas733       Pavarde733                        7         2         2         3         
Vardas734       Pavarde734                        7         8         4         4         
Vardas735       Pavarde735                        2         10        6         10        
Vardas736       Pavarde736                        6         9         10        2         
Vardas737       Pavarde737                        8         4         2         7         
Vardas738       Pavarde738                        1         2         9         8         
Vardas739       Pavarde739                        10        4         5         4         
Vardas740       Pavarde740                        9         7         8         7         
Vardas741       Pavarde741                        8         8         1         1         
Vardas742       Pavarde742                        4         2         5         6         
Vardas743       Pavarde743                        3         3         5         1         
Vardas744       Pavarde744                        3         5         3         9         
Vardas745       Pavarde745                        2         6         6         1         
Vardas746       Pavarde746                        3         6         4         6         
Vardas747       Pavarde747                        2         7         6         1         
Vardas748       Pavarde748                        5         10        3         4         
Vardas749       Pavarde749                        6         1         2         4         
Vardas750       Pavarde750                        1         9         1         2         
Vardas751       Pavarde751                        5         1         6         9         
Vardas752       Pavarde752                        4         10        1         3         
Vardas753       Pavarde753                        2         1         7         6         
Vardas754       Pavarde754                        9         1         10        5         
Vardas755       Pavarde755                        3         9         2         5         
Vardas756       Pavarde756                        9         3         7         7         
Vardas757       Pavarde757                        8         5         10        7         
Vardas758       Pavarde758                        7         1         4         9         
Vardas759       Pavarde759                        7         5         5         8         
Vardas760       Pavarde760                        2         4         10        8         
Vardas761       Pavarde761                        6         8         4         10        
Vardas762       Pavarde762                        7         7         7         4         
Vardas763       Pavarde763                        4         10        3         8         
Vardas764       Pavarde764                        1         1         1         9         
Vardas765       Pavarde765                        4         1         8         1         
Vardas766       Pavarde766                        8         10        8         4         
Vardas767       Pavarde767                        5         1         8         9         
Vardas768       Pavarde768                        5         7         9         5         
Vardas769       Pavarde769                        1         3         4         6         
Vardas770       Pavarde770                        3         6         9         8         
Vardas771       Pavarde771                        7         7         4         6         
Vardas772       Pavarde772                        6         2         7         6         
Vardas773       Pavarde773                        3         3         4         9         
Vardas774       Pavarde774                        8         3         8         10        
Vardas775       Pavarde775                        4         4         8         4         
Vardas776       Pavarde776                        10        1         10        9         
Vardas777       Pavarde777                        2         5         9         6         
Vardas778       Pavarde778                        4         1         1         4         
Vardas779       Pavarde779                        7         4         3         9         
Vardas780       Pavarde780                        10        8         1         7         
Vardas781       Pavarde781                        8         2         2         1         
Vardas782       Pavarde782                        6         8         6         7         
Vardas783       Pavarde783                        1         8         10        4         
Vardas784       Pavarde784                        8         8         3         8         
Vardas785       Pavarde785                        7         4         1         7         
Vardas786       Pavarde786                        9         10        7         5         
Vardas787       Pavarde787                        5         6         2         4         
Vardas788       Pavarde788                        8         10        6         5         
Vardas789       Pavarde789                        3         1         1         6         
Vardas790       Pavarde790                        10        9         8         6         
Vardas791       Pavarde791                        2         3         4         6         
Vardas792       Pavarde792                        3         4         9         3         
Vardas793       Pavarde793                        6         4         3         6         
Vardas794       Pavarde794                        1         3         1         6         
Vardas795       Pavarde795                        2         6         4         6         
Vardas796       Pavarde796                        8         9         4         7         
Vardas797       Pavarde797                        1         10        3         4         
Vardas798       Pavarde798                        6         8         10        3         
Vardas799       Pavarde799                        3         7         2         1         
Vardas800       Pavarde800                        4         5         7         6         
Vardas801       Pavarde801                        8         7         2         9         
Vardas802       Pavarde802                        4         6         10        10        
Vardas803       Pavarde803                        8         3         5         6         
Vardas804       Pavarde804                        9         1         5         2         
Vardas805       Pavarde805                        5         7         8         3         
Vardas806       Pavarde806                        4         1         3         6         
Vardas807       Pavarde807                        9         2         6         4         
Vardas808       Pavarde808                        10        8         2         2         
Vardas809       Pavarde809                        8         9         9         9         
Vardas810       Pavarde810                        9         5         6         9         
Vardas811       Pavarde811                        3         6         6         2         
Vardas812       Pavarde812                        8         3         10        9         
Vardas813       Pavarde813                        7         5         2         8         
Vardas814       Pavarde814                        9         6         6         10        
Vardas815       Pavarde815                        9         10        8         6         
Vardas816       Pavarde816                        3         3         4         1         
Vardas817       Pavarde817                        7         6         2         10        
Vardas818       Pavarde818                        2         2         7         2         
Vardas819       Pavarde819                        8         1         3         1         
Vardas820       Pavarde820                        9         1         3         7         
Vardas821       Pavarde821                        8         1         10        6         
Vardas822       Pavarde822                        1         7         3         6         
Vardas823       Pavarde823                        2         5         8         8         
Vardas824       Pavarde824                        8         2         3         6         
Vardas825       Pavarde825                        6         9         9         8         
Vardas826       Pavarde826                        1         9         6         1         
Vardas827       Pavarde827                        4         5         4         4         
Vardas828       Pavarde828                        3         5         2         10        
Vardas829       Pavarde829                        1         9         1         3         
Vardas830       Pavarde830                        1         8         2         2         
Vardas831       Pavarde831                        6         6         10        8         
Vardas832       Pavarde832                        5         7         5         6         
Vardas833       Pavarde833                        3         4         6         10        
Vardas834       Pavarde834                        2         6         4         6         
Vardas835       Pavarde835                        4         9         10        4         
Vardas836       Pavarde836                        1         7         4         1         
Vardas837       Pavarde837                        2         4         5         9         
Vardas838       Pavarde838                        6         7         7         4         
Vardas839       Pavarde839                        1         5         9         7         
Vardas840       Pavarde840                        5         10        8         7         
Vardas841       Pavarde841                        6         6         7         2         
Vardas842       Pavarde842                        4         10        1         10        
Vardas843       Pavarde843                        10        5         9         2         
Vardas844       Pavarde844                        10        7         8         6         
Vardas845       Pavarde845                        6         2         6         3         
Vardas846       Pavarde846                        5         9         5         5         
Vardas847       Pavarde847                        3         5         4         10        
Vardas848       Pavarde848                        1         9         9         7         
Vardas849       Pavarde849                        6         4         8         2         
Vardas850       Pavarde850                        5         5         1         8         
Vardas851       Pavarde851                        1         4         5         8         
Vardas852       Pavarde852                        4         1         2         1         
Vardas853       Pavarde853                        1         5         6         3         
Vardas854       Pavarde854                        8         6         4         7         
Vardas855       Pavarde855                        8         7         2         8         
Vardas856       Pavarde856                        9         2         10        3         
Vardas857       Pavarde857                        8         8         7         10        
Vardas858       Pavarde858                        7         2         4         10        
Vardas859       Pavarde859                        9         4         5         9         
Vardas860       Pavarde860                        7         3         4         3         
Vardas861       Pavarde861                        6         1         10        2         
Vardas862       Pavarde862                        9         7         10        9         
Vardas863       Pavarde863                        10        9         5         2         
Vardas864       Pavarde864                        10        5         5         5         
Vardas865       Pavarde865                        10        10        5         1         
Vardas866       Pavarde866                        3         6         4         2         
Vardas867       Pavarde867                        5         1         6         5         
Vardas868       Pavarde868                        2         3         10        7         
Vardas869       Pavarde869                        8         2         3         9         
Vardas870       Pavarde870                        4         9         10        4         
Vardas871       Pavarde871                        9         9         9         1         
Vardas872       Pavarde872                        6         10        8         6         
Vardas873       Pavarde873                        9         10        5         7         
Vardas874       Pavarde874                        6         4         3         1         
Vardas875       Pavarde875                        4         5         6         4         
Vardas876       Pavarde876                        6         6         6         3         
Vardas877       Pavarde877                        9         2         7         3         
Vardas878       Pavarde878                        3         9         6         7         
Vardas879       Pavarde879                        9         10        5         8         
Vardas880       Pavarde880                        4         10        2         3         
Vardas881       Pavarde881                        10        4         1         9         
Vardas882       Pavarde882                        6         9         3         9         
Vardas883       Pavarde883                        10        7         9         9         
Vardas884       Pavarde884                        3         4         3         9         
Vardas885       Pavarde885                        2         7         10        3         
Vardas886       Pavarde886                        10        8         9         9         
Vardas887       Pavarde887                        2         7         10        4         
Vardas888       Pavarde888                        7         7         1         7         
Vardas889       Pavarde889                        9         9         3         9         
Vardas890       Pavarde890                        4         3         1         9         
Vardas891       Pavarde891                        8         1         7         7         
Vardas892       Pavarde892                        4         9         8         4         
Vardas893       Pavarde893                        3         1         4         8         
Vardas894       Pavarde894                        7         10        4         7         
Vardas895       Pavarde895                        8         2         3         6         
Vardas896       Pavarde896                        1         7         1         5         
Vardas897       Pavarde897                        2         1         2         6         
Vardas898       Pavarde898                        2         9         4         1         
Vardas899       Pavarde899                        6         8         2         1         
Vardas900       Pavarde900                        6         3         5         6         
Vardas901       Pavarde901                        5         7         4         3         
Vardas902       Pavarde902                        4         6         8         6         
Vardas903       Pavarde903                        1         2         2         2         
Vardas904       Pavarde904                        7         4         8         4         
Vardas905       Pavarde905                        2         7         4         7         
Vardas906       Pavarde906                        1         2         3         9         
Vardas907       Pavarde907                        5         7         7         8         
Vardas908       Pavarde908                        9         2         10        2         
Vardas909       Pavarde909                        9         9         10        6         
Vardas910       Pavarde910                        9         4         9         10        
Vardas911       Pavarde911                        7         9         7         1         
Vardas912       Pavarde912                        4         10        6         1         
Vardas913       Pavarde913                        5         3         1         1         
Vardas914       Pavarde914                        8         2         8         1         
Vardas915       Pavarde915                        8         2         7         6         
Vardas916       Pavarde916                        4         2         6         7         
Vardas917       Pavarde917                        1         5         2         6         
Vardas918       Pavarde918                        1         9         5         6         
Vardas919       Pavarde919                        9         9         2         6         
Vardas920       Pavarde920                        6         4         10        3         
Vardas921       Pavarde921                        1         6         8         5         
Vardas922       Pavarde922                        7         10        4         3         
Vardas923       Pavarde923                        1         5         2         7         
Vardas924       Pavarde924                        4         1         3         6         
Vardas925       Pavarde925                        8         1         1         3         
Vardas926       Pavarde926                        1         1         10        5         
Vardas927       Pavarde927                        8         2         7         2         
Vardas928       Pavarde928                        2         3         9         2         
Vardas929       Pavarde929                        6         4         7         4         
Vardas930       Pavarde930                        1         6         9         6         
Vardas931       Pavarde931                        3         2         2         6         
Vardas932       Pavarde932                        3         10        3         4         
Vardas933       Pavarde933                        1         7         1         5         
Vardas934       Pavarde934                        2         7         2         10        
Vardas935       Pavarde935                        6         6         5         10        
Vardas936       Pavarde936                        1         5         6         9         
Vardas937       Pavarde937                        1         7         4         3         
Vardas938       Pavarde938                        9         6         3         5         
Vardas939       Pavarde939                        5         1         5         7         
Vardas940       Pavarde940                        2         9         7         2         
Vardas941       Pavarde941                        4         3         9         7         
Vardas942       Pavarde942                        2         4         1         4         
Vardas943       Pavarde943                        8         9         5         4         
Vardas944       Pavarde944                        3         3         1         1         
Vardas945       Pavarde945                        10        8         2         6         
Vardas946       Pavarde946                        4         2         7         8         
Vardas947       Pavarde947                        3         8         10        1         
Vardas948       Pavarde948                        2         1         9         1         
Vardas949       Pavarde949                        6         3         3         10        
Vardas950       Pavarde950                        9         8         7         4         
Vardas951       Pavarde951                        1         1         2         1         
Vardas952       Pavarde952                        8         1         8         7         
Vardas953       Pavarde953                        2         9         7         6         
Vardas954       Pavarde954                        6         3         3         8         
Vardas955       Pavarde955                        6         5         8         7         
Vardas956       Pavarde956                        9         8         5         7         
Vardas957       Pavarde957                        2         2         1         2         
Vardas958       Pavarde958                        10        10        1         3         
Vardas959       Pavarde959                        9         3         7         5         
Vardas960       Pavarde960                        1         9         6         10        
Vardas961       Pavarde961                        6         5         2         4         
Vardas962       Pavarde962                        3         5         9         1         
Vardas963       Pavarde963                        1         3         9         10        
Vardas964       Pavarde964                        5         9         6         5         
Vardas965       Pavarde965                        8         4         10        1         
Vardas966       Pavarde966                        6         2         6         6         
Vardas967       Pavarde967                        9         3         4         1         
Vardas968       Pavarde968                        5         7         3         5         
Vardas969       Pavarde969                        9         5         5         1         
Vardas970       Pavarde970                        6         7         1         9         
Vardas971       Pavarde971                        2         6         5         5         
Vardas972       Pavarde972                        7         10        7         5         
Vardas973       Pavarde973                        7         7         10        8         
Vardas974       Pavarde974                        7         5         2         4         
Vardas975       Pavarde975                        1         10        5         9         
Vardas976       Pavarde976                        3         1         5         5         
Vardas977       Pavarde977                        5         3         10        10        
Vardas978       Pavarde978                        6         1         4         5         
Vardas979       Pavarde979                        7         8         4         10        
Vardas980       Pavarde980                        4         4         6         7         
Vardas981       Pavarde981                        10        1         4         9         
Vardas982       Pavarde982                        2         5         3         5         
Vardas983       Pavarde983                        6         9         6         4         
Vardas984       Pavarde984                        4         7         3         5         
Vardas985       Pavarde985                        2         2         6         6         
Vardas986       Pavarde986                        5         10        7         8         
Vardas987       Pavarde987                        1         5         9         4         
Vardas988       Pavarde988                        1         3         5         8         
Vardas989       Pavarde989                        3         4         8         1         
Vardas990       Pavarde990                        10        5         8         10        
Vardas991       Pavarde991                        1         2         6         5         
Vardas992       Pavarde992                        4         9         3         5         
Vardas993       Pavarde993                        8         1         7         2         
Vardas994       Pavarde994                        8         8         8         2         
Vardas995       Pavarde995                        9         5         2         5         
Vardas996       Pavarde996                        8         6         10        3         
Vardas997       Pavarde997                        2         10        6         9         
Vardas998       Pavarde998                        1         8         3         6         
Vardas999       Pavarde999                        4         5         4         3         
Vardas1000      Pavarde1000                       7         2         4         8         
Vardas1001      Pavarde1001                       9         7         8         10        
Vardas1002      Pavarde1002                       8         1         5         2         
Vardas1003      Pavarde1003                       6         8         5         4         
Vardas1004      Pavarde1004                       7         3         9         8         
Vardas1005      Pavarde1005                       2         9         9         6         
Vardas1006      Pavarde1006                       10        8         8         8         
Vardas1007      Pavarde1007                       4         3         2         7         
Vardas1008      Pavarde1008                       8         10        8         8         
Vardas1009      Pavarde1009                       1         7         1         1         
Vardas1010      Pavarde1010                       3         4         4         8         
Vardas1011      Pavarde1011                       7         4         7         1         
Vardas1012      Pavarde1012                       8         3         3         9         
Vardas1013      Pavarde1013                       6         1         7         5         
Vardas1014      Pavarde1014                       6         7         8         7         
Vardas1015      Pavarde1015                       6         9         6         7         
Vardas1016      Pavarde1016                       6         6         1         3         
Vardas1017      Pavarde1017                       1         3         8         7         
Vardas1018      Pavarde1018                       6         10        2         2         
Vardas1019      Pavarde1019                       10        5         4         5         
Vardas1020      Pavarde1020                       3         8         9         7         
Vardas1021      Pavarde1021                       2         10        10        1         
Vardas1022      Pavarde1022                       7         8         7         7         
Vardas1023      Pavarde1023                       4         7         1         6         
Vardas1024      Pavarde1024                       9         7         6         2         
Vardas1025      Pavarde1025                       2         10        10        6         
Vardas1026      Pavarde1026                       10        7         3         3         
Vardas1027      Pavarde1027                       1         8         5         9         
Vardas1028      Pavarde1028                       10        2         3         6         
Vardas1029      Pavarde1029                       5         7         7         3         
Vardas1030      Pavarde1030                       8         5         7         9         
Vardas1031      Pavarde1031                       10        2         1         4         
Vardas1032      Pavarde1032                       6         5         1         10        
Vardas1033      Pavarde1033                       1         8         5         7         
Vardas1034      Pavarde1034                       3         6         1         3         
Vardas1035      Pavarde1035                       7         7         9         7         
Vardas1036      Pavarde1036                       1         9         9         7         
Vardas1037      Pavarde1037                       6         6         1         5         
Vardas1038      Pavarde1038                       2         1         3         1         
Vardas1039      Pavarde1039                       7         10        4         5         
Vardas1040      Pavarde1040                       6         4         6         7         
Vardas1041      Pavarde1041                       6         5         1         7         
Vardas1042      Pavarde1042                       1         3         7         2         
Vardas1043      Pavarde1043                       1         8         3         10        
Vardas1044      Pavarde1044                       10        5         10        1         
Vardas1045      Pavarde1045                       2         2         1         2         
Vardas1046      Pavarde1046                       9         6         9         4         
Vardas1047      Pavarde1047                       6         7         4         2         
Vardas1048      Pavarde1048                       5         9         4         4         
Vardas1049      Pavarde1049                       10        7         5         6         
Vardas1050      Pavarde1050                       1         2         10        8         
Vardas1051      Pavarde1051                       9         9         5         10        
Vardas1052      Pavarde1052                       9         9         8         9         
Vardas1053      Pavarde1053                       5         10        10        9         
Vardas1054      Pavarde1054                       9         5         10        6         
Vardas1055      Pavarde1055                       8         7         8         2         
Vardas1056      Pavarde1056                       2         5         4         7         
Vardas1057      Pavarde1057                       5         4         7         4         
Vardas1058      Pavarde1058                       6         9         2         10        
Vardas1059      Pavarde1059                       4         4         5         8         
Vardas1060      Pavarde1060                       4         10        3         8         
Vardas1061      Pavarde1061                       5         3         7         5         
Vardas1062      Pavarde1062                       1         2         2         4         
Vardas1063      Pavarde1063                       2         6         3         5         
Vardas1064      Pavarde1064                       4         2         9         9         
Vardas1065      Pavarde1065                       4         6         7         10        
Vardas1066      Pavarde1066                       7         4         1         2         
Vardas1067      Pavarde1067                       3         1         3         6         
Vardas1068      Pavarde1068                       3         2         8         5         
Vardas1069      Pavarde1069                       9         4         7         5         
Vardas1070      Pavarde1070                       6         5         7         5         
Vardas1071      Pavarde1071                       2         10        3         1         
Vardas1072      Pavarde1072                       3         5         9         4         
