Vardas          Pavarde                           ND1       ND2       ND3       ND4       ND5       Egz.      
Vardas516       Pavarde516                        1         2         1         6         5         6         
Vardas517       Pavarde517                        5         2         3         10        5         6         
Vardas518       Pavarde518                        9         8         4         10        6         8         
Vardas519       Pavarde519                        4         7         6         5         7         9         
Vardas520       Pavarde520                        4         1         6         9         10        8         
Vardas521       Pavarde521                        5         1         10        1         6         2         
Vardas522       Pavarde522                        7         9         10        7         9         8         
Vardas523       Pavarde523                        3         10        6         4         7         9         
Vardas524       Pavarde524                        2         9         4         9         8         6         
Vardas525       Pavarde525                        9         1         1         9         4         1         
Vardas526       Pavarde526                        2         1         4         9         9         9         
Vardas527       Pavarde527                        5         6         6         3         6         4         
Vardas528       Pavarde528                        1         8         10        1         3         6         
Vardas529       Pavarde529                        10        4         8         4         3         9         
Vardas530       Pavarde530                        6         10        7         2         9         5         
Vardas531       Pavarde531                        10        6         10        8         4         3         
Vardas532       Pavarde532                        10        9         7         8         5         4         
Vardas533       Pavarde533                        1         2         3         9         6         7         
Vardas534       Pavarde534                        1         10        8         2         6         4         
Vardas535       Pavarde535                        3         2         1         2         10        1         
Vardas536       Pavarde536                        5         5         9         5         9         3         
Vardas537       Pavarde537                        1         7         7         10        4         5         
Vardas538       Pavarde538                        4         2         6         4         4         5         
Vardas539       Pavarde539                        8         10        5         6         1         2         
Vardas540       Pavarde540                        4         4         1         4         8         10        
Vardas541       Pavarde541                        1         7         5         4         2         5         
Vardas542       Pavarde542                        1         6         7         6         10        9         
Vardas543       Pavarde543                        9         4         10        3         5         6         
Vardas544       Pavarde544                        2         8         2         10        9         1         
Vardas545       Pavarde545                        7         3         5         6         5         5         
Vardas546       Pavarde546                        9         6         3         7         6         9         
Vardas547       Pavarde547                        2         5         4         10        3         4         
Vardas548       Pavarde548                        9         6         3         7         5         8         
Vardas549       Pavarde549                        7         8         10        9         5         1         
Vardas550       Pavarde550                        1         5         1         3         3         4         
Vardas551       Pavarde551                        10        7         2         8         3         9         
Vardas552       Pavarde552                        8         10        8         5         6         4         
Vardas553       Pavarde553                        5         6         7         1         3         6         
Vardas554       Pavarde554                        9         3         3         10        7         2         
Vardas555       Pavarde555                        3         5         1         6         8         8         
Vardas556       Pavarde556                        1         10        6         4         3         6         
Vardas557       Pavarde557                        1         3         1         3         8         1         
Vardas558       Pavarde558                        5         1         8         3         6         9         
Vardas559       Pavarde559                        2         8         9         2         2         6         
Vardas560       Pavarde560                        2         7         5         8         7         5         
Vardas561       Pavarde561                        2         9         10        1         4         4         
Vardas562       Pavarde562                        4         5         6         2         8         8         
Vardas563       Pavarde563                        3         10        3         3         10        8         
Vardas564       Pavarde564                        3         3         6         2         5         10        
Vardas565       Pavarde565                        3         8         6         1         10        6         
Vardas566       Pavarde566                        2         9         5         5         6         9         
Vardas567       Pavarde567                        1         9         4         10        4         3         
Vardas568       Pavarde568                        2         10        10        1         3         2         
Vardas569       Pavarde569                        1         1         5         2         6         9         
Vardas570       Pavarde570                        8         8         1         10        1         4         
Vardas571       Pavarde571                        8         4         9         3         10        8         
Vardas572       Pavarde572                        8         2         6         1         5         10        
Vardas573       Pavarde573                        8         5         9         10        3         7         
Vardas574       Pavarde574                        7         1         7         8         10        4         
Vardas575       Pavarde575                        8         5         4         10        9         8         
Vardas576       Pavarde576                        10        2         8         5         4         1         
Vardas577       Pavarde577                        1         1         1         10        6         6         
Vardas578       Pavarde578                        2         5         4         8         6         7         
Vardas579       Pavarde579                        2         4         4         4         6         7         
Vardas580       Pavarde580                        6         1         2         8         2         2         
Vardas581       Pavarde581                        5         8         8         8         2         6         
Vardas582       Pavarde582                        10        7         5         1         6         5         
Vardas583       Pavarde583                        8         3         1         1         4         1         
Vardas584       Pavarde584                        3         8         8         2         9         3         
Vardas585       Pavarde585                        9         6         7         3         7         8         
Vardas586       Pavarde586                        6         7         8         9         3         8         
Vardas587       Pavarde587                        9         5         9         3         1         6         
Vardas588       Pavarde588                        8         8         5         5         7         9         
Vardas589       Pavarde589                        6         5         6         6         6         1         
Vardas590       Pavarde590                        10        3         7         1         3         10        
Vardas591       Pavarde591                        8         7         8         9         10        8         
Vardas592       Pavarde592                        2         5         7         1         7         1         
Vardas593       Pavarde593                        10        9         3         6         5         4         
Vardas594       Pavarde594                        2         4         7         6         1         8         
Vardas595       Pavarde595                        10        1         9         8         4         5         
Vardas596       Pavarde596                        3         6         8         1         2         4         
Vardas597       Pavarde597                        7         6         9         5         3         8         
Vardas598       Pavarde598                        8         9         7         7         10        6         
Vardas599       Pavarde599                        7         1         3         1         1         4         
Vardas600       Pavarde600                        8         5         10        6         7         9         
Vardas601       Pavarde601                        5         9         9         1         8         2         
Vardas602       Pavarde602                        4         8         6         5         8         2         
Vardas603       Pavarde603                        4         6         4         3         3         2         
Vardas604       Pavarde604                        7         4         10        5         4         2         
Vardas605       Pavarde605                        8         8         5         8         7         2         
Vardas606       Pavarde606                        7         6         10        6         1         5         
Vardas607       Pavarde607                        4         8         1         10        2         5         
Vardas608       Pavarde608                        2         3         5         9         10        9         
Vardas609       Pavarde609                        9         10        6         8         5         6         
Vardas610       Pavarde610                        8         3         10        3         6         7         
Vardas611       Pavarde611                        3         1         7         9         9         6         
Vardas612       Pavarde612                        7         4         2         5         4         7         
Vardas613       Pavarde613                        1         1         5         4         1         6         
Vardas614       Pavarde614                        8         9         1         10        9         5         
Vardas615       Pavarde615                        3         5         9         2         10        2         
Vardas616       Pavarde616                        1         6         7         9         10        7         
Vardas617       Pavarde617                        8         10        9         7         7         10        
Vardas618       Pavarde618                        1         7         5         8         2         10        
Vardas619       Pavarde619                        6         7         9         8         4         3         
Vardas620       Pavarde620                        10        1         7         6         4         9         
Vardas621       Pavarde621                        5         9         7         2         4         3         
Vardas622       Pavarde622                        6         4         9         4         9         7         
Vardas623       Pavarde623                        5         2         7         8         1         2         
Vardas624       Pavarde624                        5         9         3         8         2         3         
Vardas625       Pavarde625                        1         4         5         8         10        2         
Vardas626       Pavarde626                        1         6         2         2         8         1         
Vardas627       Pavarde627                        3         8         5         4         1         4         
Vardas628       Pavarde628                        1         9         7         6         6         8         
Vardas629       Pavarde629                        9         6         7         7         2         8         
Vardas630       Pavarde630                        5         5         1         5         2         9         
Vardas631       Pavarde631                        6         10        9         5         2         1         
Vardas632       Pavarde632                        3         1         1         3         5         6         
Vardas633       Pavarde633                        8         6         9         7         6         8         
Vardas634       Pavarde634                        10        6         10        3         6         3         
Vardas635       Pavarde635                        5         2         2         10        9         3         
Vardas636       Pavarde636                        9         8         6         2         3         3         
Vardas637       Pavarde637                        1         8         1         9         4         6         
Vardas638       Pavarde638                        4         5         10        9         3         3         
Vardas639       Pavarde639                        3         2         9         1         3         1         
Vardas640       Pavarde640                        10        3         9         8         5         2         
Vardas641       Pavarde641                        10        5         6         8         10        3         
Vardas642       Pavarde642                        10        7         7         9         2         3         
Vardas643       Pavarde643                        3         7         2         9         3         1         
Vardas644       Pavarde644                        10        10        9         5         1         1         
Vardas645       Pavarde645                        1         9         5         5         9         1         
Vardas646       Pavarde646                        2         4         9         9         6         3         
Vardas647       Pavarde647                        9         4         7         5         9         2         
Vardas648       Pavarde648                        8         9         4         9         7         4         
Vardas649       Pavarde649                        2         8         10        3         2         8         
Vardas650       Pavarde650                        7         10        7         8         3         9         
Vardas651       Pavarde651                        9         8         8         3         10        10        
Vardas652       Pavarde652                        3         9         1         7         2         3         
Vardas653       Pavarde653                        9         9         6         10        8         5         
Vardas654       Pavarde654                        5         8         6         7         4         1         
Vardas655       Pavarde655                        3         10        5         4         4         4         
Vardas656       Pavarde656                        7         10        3         9         1         4         
Vardas657       Pavarde657                        2         10        9         1         7         7         
Vardas658       Pavarde658                        10        10        4         2         5         7         
Vardas659       Pavarde659                        9         3         9         9         6         9         
Vardas660       Pavarde660                        9         2         8         7         2         4         
Vardas661       Pavarde661                        5         6         9         9         4         2         
Vardas662       Pavarde662                        10        6         9         4         4         1         
Vardas663       Pavarde663                        10        9         9         2         5         10        
Vardas664       Pavarde664                        1         8         6         6         5         4         
Vardas665       Pavarde665                        5         2         5         6         5         5         
Vardas666       Pavarde666                        3         2         10        1         6         4         
Vardas667       Pavarde667                        1         2         9         6         10        7         
Vardas668       Pavarde668                        4         9         10        1         1         9         
Vardas669       Pavarde669                        7         4         5         7         10        5         
Vardas670       Pavarde670                        8         2         9         7         4         7         
Vardas671       Pavarde671                        7         8         10        8         6         7         
Vardas672       Pavarde672                        4         7         4         8         9         1         
Vardas673       Pavarde673                        9         9         9         8         8         7         
Vardas674       Pavarde674                        8         8         1         1         1         4         
Vardas675       Pavarde675                        7         9         1         3         4         9         
Vardas676       Pavarde676                        9         1         1         4         5         3         
Vardas677       Pavarde677                        4         8         2         3         10        5         
Vardas678       Pavarde678                        4         10        5         3         1         3         
Vardas679       Pavarde679                        2         8         6         1         6         1         
Vardas680       Pavarde680                        7         8         8         2         8         3         
Vardas681       Pavarde681                        7         10        2         6         10        5         
Vardas682       Pavarde682                        6         1         3         5         10        8         
Vardas683       Pavarde683                        7         8         2         10        5         1         
Vardas684       Pavarde684                        5         3         3         7         5         4         
Vardas685       Pavarde685                        5         10        3         5         5         2         
Vardas686       Pavarde686                        9         6         2         2         2         4         
Vardas687       Pavarde687                        7         5         5         9         6         7         
Vardas688       Pavarde688                        10        8         3         3         2         9         
Vardas689       Pavarde689                        1         4         1         4         7         7         
Vardas690       Pavarde690                        7         10        4         1         7         7         
Vardas691       Pavarde691                        1         8         1         5         10        4         
Vardas692       Pavarde692                        5         5         4         8         2         5         
Vardas693       Pavarde693                        2         1         3         6         10        2         
Vardas694       Pavarde694                        10        3         10        9         9         10        
Vardas695       Pavarde695                        1         8         6         5         4         5         
Vardas696       Pavarde696                        9         1         6         1         2         5         
Vardas697       Pavarde697                        8         3         2         9         1         8         
Vardas698       Pavarde698                        5         5         4         4         5         10        
Vardas699       Pavarde699                        5         2         7         10        4         2         
Vardas700       Pavarde700                        3         3         8         2         7         10        
Vardas701       Pavarde701                        8         3         6         5         5         2         
Vardas702       Pavarde702                        5         4         5         4         3         9         
Vardas703       Pavarde703                        1         2         7         8         9         8         
Vardas704       Pavarde704                        1         6         10        6         7         5         
Vardas705       Pavarde705                        10        8         5         9         6         1         
Vardas706       Pavarde706                        8         7         5         8         8         2         
Vardas707       Pavarde707                        1         1         4         6         4         10        
Vardas708       Pavarde708                        10        2         2         1         6         4         
Vardas709       Pavarde709                        8         3         3         1         10        4         
Vardas710       Pavarde710                        3         4         8         8         3         3         
Vardas711       Pavarde711                        6         10        2         6         10        6         
Vardas712       Pavarde712                        2         2         7         5         2         7         
Vardas713       Pavarde713                        1         1         7         1         9         8         
Vardas714       Pavarde714                        10        6         3         8         6         8         
Vardas715       Pavarde715                        5         9         1         7         5         10        
Vardas716       Pavarde716                        3         9         4         1         4         8         
Vardas717       Pavarde717                        6         1         9         1         4         4         
Vardas718       Pavarde718                        9         10        9         3         1         10        
Vardas719       Pavarde719                        3         5         1         10        5         8         
Vardas720       Pavarde720                        2         2         8         6         7         7         
Vardas721       Pavarde721                        6         3         3         9         7         6         
Vardas722       Pavarde722                        10        7         6         2         5         6         
Vardas723       Pavarde723                        3         9         7         9         4         5         
Vardas724       Pavarde724                        6         1         9         4         1         10        
Vardas725       Pavarde725                        5         1         3         3         4         3         
Vardas726       Pavarde726                        1         1         6         10        6         7         
Vardas727       Pavarde727                        1         5         10        8         4         8         
Vardas728       Pavarde728                        2         5         1         3         10        4         
Vardas729       Pavarde729                        3         10        5         9         2         6         
Vardas730       Pavarde730                        2         7         2         6         5         5         
Vardas731       Pavarde731                        6         3         3         3         8         3         
Vardas732       Pavarde732                        2         10        3         3         3         1         
Vardas733       Pavarde733                        9         3         2         7         10        6         
Vardas734       Pavarde734                        9         4         4         8         5         7         
Vardas735       Pavarde735                        8         6         10        9         7         2         
Vardas736       Pavarde736                        2         10        1         5         4         7         
Vardas737       Pavarde737                        8         5         4         8         2         8         
Vardas738       Pavarde738                        4         4         3         1         9         8         
Vardas739       Pavarde739                        5         7         4         6         10        10        
Vardas740       Pavarde740                        8         4         10        9         2         8         
Vardas741       Pavarde741                        1         9         3         2         6         9         
Vardas742       Pavarde742                        8         6         7         4         1         1         
Vardas743       Pavarde743                        7         10        3         10        8         7         
Vardas744       Pavarde744                        10        8         3         6         10        10        
Vardas745       Pavarde745                        4         3         8         10        8         5         
Vardas746       Pavarde746                        6         3         7         2         1         4         
Vardas747       Pavarde747                        6         4         10        10        6         5         
Vardas748       Pavarde748                        3         7         5         7         1         1         
Vardas749       Pavarde749                        7         7         9         8         9         2         
Vardas750       Pavarde750                        3         2         6         1         1         3         
Vardas751       Pavarde751                        7         6         1         7         9         1         
Vardas752       Pavarde752                        6         2         1         8         4         1         
Vardas753       Pavarde753                        4         3         4         10        1         10        
Vardas754       Pavarde754                        4         5         1         9         6         4         
Vardas755       Pavarde755                        8         10        10        2         1         9         
Vardas756       Pavarde756                        1         7         5         2         8         9         
Vardas757       Pavarde757                        10        3         1         10        6         2         
Vardas758       Pavarde758                        3         9         1         6         1         9         
Vardas759       Pavarde759                        2         10        8         9         8         7         
Vardas760       Pavarde760                        10        6         5         6         9         8         
Vardas761       Pavarde761                        3         6         8         10        5         3         
Vardas762       Pavarde762                        1         10        3         1         4         4         
Vardas763       Pavarde763                        3         9         1         5         9         9         
Vardas764       Pavarde764                        5         5         10        2         1         3         
Vardas765       Pavarde765                        10        6         5         5         3         1         
Vardas766       Pavarde766                        2         6         3         10        2         4         
Vardas767       Pavarde767                        2         9         6         3         5         5         
Vardas768       Pavarde768                        9         5         10        3         2         10        
Vardas769       Pavarde769                        2         6         10        7         4         10        
Vardas770       Pavarde770                        7         7         4         5         2         3         
Vardas771       Pavarde771                        2         2         10        10        1         10        
Vardas772       Pavarde772                        2         3         8         6         8         9         
Vardas773       Pavarde773                        3         10        2         10        2         3         
Vardas774       Pavarde774                        9         8         6         6         1         1         
Vardas775       Pavarde775                        7         8         4         8         4         10        
Vardas776       Pavarde776                        10        6         3         9         6         8         
Vardas777       Pavarde777                        4         7         2         5         8         6         
Vardas778       Pavarde778                        10        9         2         7         1         7         
Vardas779       Pavarde779                        4         9         6         9         8         6         
Vardas780       Pavarde780                        2         9         10        7         7         8         
Vardas781       Pavarde781                        3         4         9         9         6         5         
Vardas782       Pavarde782                        4         8         1         3         6         4         
Vardas783       Pavarde783                        6         5         8         8         7         4         
Vardas784       Pavarde784                        9         8         10        8         8         9         
Vardas785       Pavarde785                        6         10        3         8         6         4         
Vardas786       Pavarde786                        2         6         9         4         2         9         
Vardas787       Pavarde787                        5         5         5         4         7         10        
Vardas788       Pavarde788                        10        3         9         8         1         8         
Vardas789       Pavarde789                        3         1         2         5         4         1         
Vardas790       Pavarde790                        1         7         7         9         10        6         
Vardas791       Pavarde791                        10        7         2         4         2         6         
Vardas792       Pavarde792                        5         2         9         5         3         1         
Vardas793       Pavarde793                        3         5         2         5         3         8         
Vardas794       Pavarde794                        7         1         3         6         5         9         
Vardas795       Pavarde795                        1         5         8         9         9         6         
Vardas796       Pavarde796                        7         3         5         7         10        10        
Vardas797       Pavarde797                        4         7         3         6         5         9         
Vardas798       Pavarde798                        8         6         7         1         8         1         
Vardas799       Pavarde799                        7         6         6         1         9         10        
Vardas800       Pavarde800                        5         10        1         6         5         5         
Vardas801       Pavarde801                        2         5         4         4         7         1         
Vardas802       Pavarde802                        10        9         7         5         4         7         
Vardas803       Pavarde803                        1         10        4         7         8         5         
Vardas804       Pavarde804                        4         7         8         8         8         3         
Vardas805       Pavarde805                        2         3         4         4         3         4         
Vardas806       Pavarde806                        8         4         7         10        7         3         
Vardas807       Pavarde807                        5         1         8         9         8         9         
Vardas808       Pavarde808                        8         5         7         5         1         4         
Vardas809       Pavarde809                        4         4         7         5         3         2         
Vardas810       Pavarde810                        3         9         1         7         10        8         
Vardas811       Pavarde811                        10        1         7         5         3         1         
Vardas812       Pavarde812                        9         9         9         4         4         3         
Vardas813       Pavarde813                        8         8         3         10        6         1         
Vardas814       Pavarde814                        5         2         4         10        3         8         
Vardas815       Pavarde815                        5         9         9         5         7         6         
Vardas816       Pavarde816                        3         3         9         3         10        6         
Vardas817       Pavarde817                        4         5         8         4         2         5         
Vardas818       Pavarde818                        6         3         8         2         5         10        
Vardas819       Pavarde819                        2         3         10        3         2         7         
Vardas820       Pavarde820                        7         3         2         4         6         3         
Vardas821       Pavarde821                        9         9         5         3         9         2         
Vardas822       Pavarde822                        4         1         10        6         1         6         
Vardas823       Pavarde823                        2         6         5         3         8         4         
Vardas824       Pavarde824                        6         5         6         3         6         7         
Vardas825       Pavarde825                        3         10        6         5         5         6         
Vardas826       Pavarde826                        6         3         3         6         7         10        
Vardas827       Pavarde827                        5         5         5         3         6         10        
Vardas828       Pavarde828                        3         2         4         2         10        2         
Vardas829       Pavarde829                        9         7         10        3         1         3         
Vardas830       Pavarde830                        2         7         4         4         6         6         
Vardas831       Pavarde831                        8         1         2         6         5         7         
Vardas832       Pavarde832                        10        10        6         9         2         10        
Vardas833       Pavarde833                        6         6         8         10        9         4         
Vardas834       Pavarde834                        1         8         10        7         8         2         
Vardas835       Pavarde835                        8         10        6         9         7         5         
Vardas836       Pavarde836                        1         2         8         3         8         1         
Vardas837       Pavarde837                        4         10        6         5         6         9         
Vardas838       Pavarde838                        9         8         3         5         6         10        
Vardas839       Pavarde839                        3         6         9         9         6         6         
Vardas840       Pavarde840                        6         9         6         7         1         3         
Vardas841       Pavarde841                        3         4         9         1         5         8         
Vardas842       Pavarde842                        2         9         10        4         4         1         
Vardas843       Pavarde843                        8         5         9         1         2         1         
Vardas844       Pavarde844                        8         1         9         6         4         3         
Vardas845       Pavarde845                        4         3         4         9         2         4         
Vardas846       Pavarde846                        4         6         4         3         6         5         
Vardas847       Pavarde847                        10        5         10        2         10        10        
Vardas848       Pavarde848                        8         10        7         3         6         6         
Vardas849       Pavarde849                        10        10        1         10        1         5         
Vardas850       Pavarde850                        2         9         4         7         2         8         
Vardas851       Pavarde851                        7         6         8         8         1         1         
Vardas852       Pavarde852                        3         6         8         1         4         2         
Vardas853       Pavarde853                        5         9         6         2         4         4         
Vardas854       Pavarde854                        6         10        4         5         3         2         
Vardas855       Pavarde855                        4         2         7         6         5         3         
Vardas856       Pavarde856                        8         8         6         8         8         6         
Vardas857       Pavarde857                        4         3         10        4         3         5         
Vardas858       Pavarde858                        10        8         10        3         10        7         
Vardas859       Pavarde859                        10        9         8         1         1         6         
Vardas860       Pavarde860                        5         1         10        4         6         6         
Vardas861       Pavarde861                        5         4         2         6         7         4         
Vardas862       Pavarde862                        4         6         10        3         1         9         
Vardas863       Pavarde863                        4         8         8         8         10        8         
Vardas864       Pavarde864                        2         7         8         9         8         3         
Vardas865       Pavarde865                        6         1         5         9         10        10        
Vardas866       Pavarde866                        7         5         5         2         4         10        
Vardas867       Pavarde867                        1         9         9         8         8         6         
Vardas868       Pavarde868                        8         1         3         6         7         8         
Vardas869       Pavarde869                        10        1         7         9         5         7         
Vardas870       Pavarde870                        9         8         5         6         9         10        
Vardas871       Pavarde871                        7         8         1         8         7         5         
Vardas872       Pavarde872                        10        4         4         8         10        1         
Vardas873       Pavarde873                        7         7         1         3         3         6         
Vardas874       Pavarde874                        3         5         8         1         3         8         
Vardas875       Pavarde875                        2         9         3         9         3         2         
Vardas876       Pavarde876                        9         4         9         4         8         1         
Vardas877       Pavarde877                        2         10        1         4         2         9         
Vardas878       Pavarde878                        1         1         8         9         2         4         
Vardas879       Pavarde879                        8         7         4         1         1         3         
Vardas880       Pavarde880                        5         6         5         5         5         9         
Vardas881       Pavarde881                        9         4         1         6         10        5         
Vardas882       Pavarde882                        5         6         3         4         5         7         
Vardas883       Pavarde883                        2         10        9         2         8         10        
Vardas884       Pavarde884                        5         1         1         4         9         9         
Vardas885       Pavarde885                        5         3         4         1         9         8         
Vardas886       Pavarde886                        9         3         8         10        9         6         
Vardas887       Pavarde887                        7         8         10        4         4         5         
Vardas888       Pavarde888                        10        10        1         2         10        1         
Vardas889       Pavarde889                        2         10        6         6         7         7         
Vardas890       Pavarde890                        1         3         1         7         2         10        
Vardas891       Pavarde891                        4         5         3         2         9         6         
Vardas892       Pavarde892                        10        4         10        5         5         1         
Vardas893       Pavarde893                        7         8         4         3         5         2         
Vardas894       Pavarde894                        10        3         2         6         1         5         
Vardas895       Pavarde895                        3         3         7         9         9         1         
Vardas896       Pavarde896                        9         1         2         10        3         3         
Vardas897       Pavarde897                        3         8         6         6         6         3         
Vardas898       Pavarde898                        5         1         9         8         7         10        
Vardas899       Pavarde899                        5         9         9         7         1         1         
Vardas900       Pavarde900                        3         7         4         6         4         8         
Vardas901       Pavarde901                        6         5         1         10        6         6         
Vardas902       Pavarde902                        3         9         1         9         4         1         
Vardas903       Pavarde903                        2         1         9         1         6         1         
Vardas904       Pavarde904                        3         1         7         7         10        1         
Vardas905       Pavarde905                        10        3         6         1         4         4         
Vardas906       Pavarde906                        6         6         5         1         2         10        
Vardas907       Pavarde907                        3         5         4         5         9         9         
Vardas908       Pavarde908                        5         3         9         5         9         10        
Vardas909       Pavarde909                        1         4         6         5         3         9         
Vardas910       Pavarde910                        3         9         6         9         5         10        
Vardas911       Pavarde911                        8         3         9         9         10        4         
Vardas912       Pavarde912                        3         5         1         8         6         4         
Vardas913       Pavarde913                        2         6         5         8         2         1         
Vardas914       Pavarde914                        8         6         3         4         1         8         
Vardas915       Pavarde915                        6         4         1         1         4         8         
Vardas916       Pavarde916                        3         10        6         4         4         2         
Vardas917       Pavarde917                        8         3         5         5         3         8         
Vardas918       Pavarde918                        8         8         10        7         2         4         
Vardas919       Pavarde919                        4         4         8         7         3         1         
Vardas920       Pavarde920                        3         2         5         10        5         3         
Vardas921       Pavarde921                        7         10        4         3         1         5         
Vardas922       Pavarde922                        7         9         5         9         6         7         
Vardas923       Pavarde923                        9         1         4         5         8         3         
Vardas924       Pavarde924                        10        7         4         5         7         9         
Vardas925       Pavarde925                        2         6         4         5         9         6         
Vardas926       Pavarde926                        5         6         6         8         6         9         
Vardas927       Pavarde927                        5         8         1         10        6         2         
Vardas928       Pavarde928                        5         7         8         10        1         6         
Vardas929       Pavarde929                        8         10        3         6         3         7         
Vardas930       Pavarde930                        9         6         5         9         1         5         
Vardas931       Pavarde931                        9         10        4         8         5         1         
Vardas932       Pavarde932                        8         10        7         6         9         6         
Vardas933       Pavarde933                        5         3         4         6         8         4         
Vardas934       Pavarde934                        3         5         7         4         2         10        
Vardas935       Pavarde935                        3         9         6         9         1         7         
Vardas936       Pavarde936                        10        5         1         9         5         7         
Vardas937       Pavarde937                        1         7         6         8         6         4         
Vardas938       Pavarde938                        5         6         3         6         1         2         
Vardas939       Pavarde939                        6         2         6         8         4         6         
Vardas940       Pavarde940                        6         10        7         3         8         3         
Vardas941       Pavarde941                        9         9         9         2         1         10        
Vardas942       Pavarde942                        5         3         9         5         3         1         
Vardas943       Pavarde943                        10        10        7         6         3         8         
Vardas944       Pavarde944                        10        9         9         10        7         4         
Vardas945       Pavarde945                        3         8         5         2         6         7         
Vardas946       Pavarde946                        3         4         1         3         8         9         
Vardas947       Pavarde947                        8         1         7         5         2         6         
Vardas948       Pavarde948                        3         3         4         8         2         6         
Vardas949       Pavarde949                        6         10        9         4         4         10        
Vardas950       Pavarde950                        8         1         5         4         10        4         
Vardas951       Pavarde951                        7         6         9         6         2         4         
Vardas952       Pavarde952                        8         6         6         6         1         4         
Vardas953       Pavarde953                        1         2         7         6         4         1         
Vardas954       Pavarde954                        8         2         3         4         10        1         
Vardas955       Pavarde955                        2         5         4         5         6         6         
Vardas956       Pavarde956                        1         9         3         5         8         7         
Vardas957       Pavarde957                        9         8         1         5         8         10        
Vardas958       Pavarde958                        10        10        9         3         5         5         
Vardas959       Pavarde959                        9         7         4         2         2         7         
Vardas960       Pavarde960                        2         5         1         4         3         3         
Vardas961       Pavarde961                        9         1         8         1         1         3         
Vardas962       Pavarde962                        9         6         9         6         4         5         
Vardas963       Pavarde963                        5         1         2         3         7         10        
Vardas964       Pavarde964                        1         9         1         4         6         2         
Vardas965       Pavarde965                        8         3         1         8         10        1         
Vardas966       Pavarde966                        6         4         10        5         9         2         
Vardas967       Pavarde967                        2         10        6         6         9         7         
Vardas968       Pavarde968                        2         10        6         7         9         5         
Vardas969       Pavarde969                        6         4         5         1         1         8         
Vardas970       Pavarde970                        5         2         3         7         6         4         
Vardas971       Pavarde971                        1         7         1         6         6         5         
Vardas972       Pavarde972                        8         5         1         10        3         7         
Vardas973       Pavarde973                        8         1         3         10        4         6         
Vardas974       Pavarde974                        9         4         3         2         10        7         
Vardas975       Pavarde975                        4         4         7         3         2         10        
Vardas976       Pavarde976                        8         8         8         9         2         1         
Vardas977       Pavarde977                        4         2         10        4         10        3         
Vardas978       Pavarde978                        8         1         5         1         4         10        
Vardas979       Pavarde979                        7         3         8         5         8         10        
Vardas980       Pavarde980                        4         1         9         9         2         10        
Vardas981       Pavarde981                        9         2         1         10        8         9         
Vardas982       Pavarde982                        9         5         8         5         7         4         
Vardas983       Pavarde983                        8         7         7         10        8         10        
Vardas984       Pavarde984                        8         2         8         9         10        9         
Vardas985       Pavarde985                        6         2         4         4         1         3         
Vardas986       Pavarde986                        5         4         9         8         7         8         
Vardas987       Pavarde987                        10        6         2         8         10        10        
Vardas988       Pavarde988                        10        7         7         6         2         3         
Vardas989       Pavarde989                        2         10        8         8         1         2         
Vardas990       Pavarde990                        9         8         6         2         3         1         
Vardas991       Pavarde991                        4         4         8         7         5         5         
Vardas992       Pavarde992                        3         10        3         9         4         9         
Vardas993       Pavarde993                        9         6         4         9         5         3         
Vardas994       Pavarde994                        9         7         3         10        5         3         
Vardas995       Pavarde995                        7         10        3         2         9         3         
Vardas996       Pavarde996                        9         1         9         8         10        4         
Vardas997       Pavarde997                        1         5         6         5         4         4         
Vardas998       Pavarde998                        7         9         1         4         9         3         
Vardas999       Pavarde999                        9         9         5         3         6         5         
Vardas1000      Pavarde1000                       7         8         10        1         3         8         
